context1;context2;context3;context4;context5;context6;context7;response
“It’s cooler here.;”“Let’s go on.;”“Wait a minute.;Let’s sit down a while.”He ventured deeper into the bushes where recesses and hol-lows were opening up, darkened from above by a canopy of inter-twining hazel branches and boughs of spruce, I ventured withmy gaze into the disarray of leaves, twigs, blotches of light, thick-ets, recesses, thrusts, slants, bends, curves, devil knows what, intoa mottled space that was charging and receding, ﬁrst growing quiet, then, I don’t know, swelling, displacing everything, open-ing wide . . .;lost and drenched in sweat, I felt the ground below,black and bare.;There was something stuck between the trees—something was protruding that was diﬀerent and strange, thoughindistinct . . .;and this is what my companion was also watching.;”“Let’s go on.
”“Let’s go on.;”“Wait a minute.;Let’s sit down a while.”He ventured deeper into the bushes where recesses and hol-lows were opening up, darkened from above by a canopy of inter-twining hazel branches and boughs of spruce, I ventured withmy gaze into the disarray of leaves, twigs, blotches of light, thick-ets, recesses, thrusts, slants, bends, curves, devil knows what, intoa mottled space that was charging and receding, ﬁrst growing quiet, then, I don’t know, swelling, displacing everything, open-ing wide . . .;lost and drenched in sweat, I felt the ground below,black and bare.;There was something stuck between the trees—something was protruding that was diﬀerent and strange, thoughindistinct . . .;and this is what my companion was also watching.;“A sparrow.;”“Wait a minute.
”“Wait a minute.;Let’s sit down a while.”He ventured deeper into the bushes where recesses and hol-lows were opening up, darkened from above by a canopy of inter-twining hazel branches and boughs of spruce, I ventured withmy gaze into the disarray of leaves, twigs, blotches of light, thick-ets, recesses, thrusts, slants, bends, curves, devil knows what, intoa mottled space that was charging and receding, ﬁrst growing quiet, then, I don’t know, swelling, displacing everything, open-ing wide . . .;lost and drenched in sweat, I felt the ground below,black and bare.;There was something stuck between the trees—something was protruding that was diﬀerent and strange, thoughindistinct . . .;and this is what my companion was also watching.;“A sparrow.;”“Ah.;Let’s sit down a while.”He ventured deeper into the bushes where recesses and hol-lows were opening up, darkened from above by a canopy of inter-twining hazel branches and boughs of spruce, I ventured withmy gaze into the disarray of leaves, twigs, blotches of light, thick-ets, recesses, thrusts, slants, bends, curves, devil knows what, intoa mottled space that was charging and receding, ﬁrst growing quiet, then, I don’t know, swelling, displacing everything, open-ing wide . . .
Let’s sit down a while.”He ventured deeper into the bushes where recesses and hol-lows were opening up, darkened from above by a canopy of inter-twining hazel branches and boughs of spruce, I ventured withmy gaze into the disarray of leaves, twigs, blotches of light, thick-ets, recesses, thrusts, slants, bends, curves, devil knows what, intoa mottled space that was charging and receding, ﬁrst growing quiet, then, I don’t know, swelling, displacing everything, open-ing wide . . .;lost and drenched in sweat, I felt the ground below,black and bare.;There was something stuck between the trees—something was protruding that was diﬀerent and strange, thoughindistinct . . .;and this is what my companion was also watching.;“A sparrow.;”“Ah.;” Witold GombrowiczIt was a sparrow.;lost and drenched in sweat, I felt the ground below,black and bare.
lost and drenched in sweat, I felt the ground below,black and bare.;There was something stuck between the trees—something was protruding that was diﬀerent and strange, thoughindistinct . . .;and this is what my companion was also watching.;“A sparrow.;”“Ah.;” Witold GombrowiczIt was a sparrow.;A sparrow hanging on a piece of wire.;There was something stuck between the trees—something was protruding that was diﬀerent and strange, thoughindistinct . . .
There was something stuck between the trees—something was protruding that was diﬀerent and strange, thoughindistinct . . .;and this is what my companion was also watching.;“A sparrow.;”“Ah.;” Witold GombrowiczIt was a sparrow.;A sparrow hanging on a piece of wire.;Hanged.;and this is what my companion was also watching.
and this is what my companion was also watching.;“A sparrow.;”“Ah.;” Witold GombrowiczIt was a sparrow.;A sparrow hanging on a piece of wire.;Hanged.;Its little head to one side, its beak wide open.;“A sparrow.
“A sparrow.;”“Ah.;” Witold GombrowiczIt was a sparrow.;A sparrow hanging on a piece of wire.;Hanged.;Its little head to one side, its beak wide open.;It was hanging on athin wire hooked over a branch.;”“Ah.
”“Ah.;” Witold GombrowiczIt was a sparrow.;A sparrow hanging on a piece of wire.;Hanged.;Its little head to one side, its beak wide open.;It was hanging on athin wire hooked over a branch.;Remarkable.;” Witold GombrowiczIt was a sparrow.
” Witold GombrowiczIt was a sparrow.;A sparrow hanging on a piece of wire.;Hanged.;Its little head to one side, its beak wide open.;It was hanging on athin wire hooked over a branch.;Remarkable.;A hanged bird.;A sparrow hanging on a piece of wire.
A sparrow hanging on a piece of wire.;Hanged.;Its little head to one side, its beak wide open.;It was hanging on athin wire hooked over a branch.;Remarkable.;A hanged bird.;A hanged sparrow.;Hanged.
Hanged.;Its little head to one side, its beak wide open.;It was hanging on athin wire hooked over a branch.;Remarkable.;A hanged bird.;A hanged sparrow.;The eccentric-ity of it clamored with a loud voice and pointed to a human handthat had torn into the thicket—but who?Who hanged it, why, for what reason? . . .;Its little head to one side, its beak wide open.
Its little head to one side, its beak wide open.;It was hanging on athin wire hooked over a branch.;Remarkable.;A hanged bird.;A hanged sparrow.;The eccentric-ity of it clamored with a loud voice and pointed to a human handthat had torn into the thicket—but who?Who hanged it, why, for what reason? . . .;my thoughts wereentangled in this overgrowth abounding in a million combina-tions, the jolting train ride, the night ﬁlled with the rumble of thetrain, lack of sleep, the air, the sun, the march here with this Fuks,there was Jasia and my mother, the mess with the letter, the way I had “cold-shouldered” my father, there was Roman, and alsoFuks’s problem with his boss in the oﬃce (that he’s been tellingme about), ruts, clods of dirt, heels, pant legs, pebbles, leaves, allof it suddenly fell down before the bird, like a crowd on its knees,and the bird, the eccentric, seized the reign . . .;It was hanging on athin wire hooked over a branch.
It was hanging on athin wire hooked over a branch.;Remarkable.;A hanged bird.;A hanged sparrow.;The eccentric-ity of it clamored with a loud voice and pointed to a human handthat had torn into the thicket—but who?Who hanged it, why, for what reason? . . .;my thoughts wereentangled in this overgrowth abounding in a million combina-tions, the jolting train ride, the night ﬁlled with the rumble of thetrain, lack of sleep, the air, the sun, the march here with this Fuks,there was Jasia and my mother, the mess with the letter, the way I had “cold-shouldered” my father, there was Roman, and alsoFuks’s problem with his boss in the oﬃce (that he’s been tellingme about), ruts, clods of dirt, heels, pant legs, pebbles, leaves, allof it suddenly fell down before the bird, like a crowd on its knees,and the bird, the eccentric, seized the reign . . .;and reigned inthis nook.;Remarkable.
Remarkable.;A hanged bird.;A hanged sparrow.;The eccentric-ity of it clamored with a loud voice and pointed to a human handthat had torn into the thicket—but who?Who hanged it, why, for what reason? . . .;my thoughts wereentangled in this overgrowth abounding in a million combina-tions, the jolting train ride, the night ﬁlled with the rumble of thetrain, lack of sleep, the air, the sun, the march here with this Fuks,there was Jasia and my mother, the mess with the letter, the way I had “cold-shouldered” my father, there was Roman, and alsoFuks’s problem with his boss in the oﬃce (that he’s been tellingme about), ruts, clods of dirt, heels, pant legs, pebbles, leaves, allof it suddenly fell down before the bird, like a crowd on its knees,and the bird, the eccentric, seized the reign . . .;and reigned inthis nook.;“Who could have hanged it?”“Some kid.;A hanged bird.
A hanged bird.;A hanged sparrow.;The eccentric-ity of it clamored with a loud voice and pointed to a human handthat had torn into the thicket—but who?Who hanged it, why, for what reason? . . .;my thoughts wereentangled in this overgrowth abounding in a million combina-tions, the jolting train ride, the night ﬁlled with the rumble of thetrain, lack of sleep, the air, the sun, the march here with this Fuks,there was Jasia and my mother, the mess with the letter, the way I had “cold-shouldered” my father, there was Roman, and alsoFuks’s problem with his boss in the oﬃce (that he’s been tellingme about), ruts, clods of dirt, heels, pant legs, pebbles, leaves, allof it suddenly fell down before the bird, like a crowd on its knees,and the bird, the eccentric, seized the reign . . .;and reigned inthis nook.;“Who could have hanged it?”“Some kid.;”“No.;A hanged sparrow.
A hanged sparrow.;The eccentric-ity of it clamored with a loud voice and pointed to a human handthat had torn into the thicket—but who?Who hanged it, why, for what reason? . . .;my thoughts wereentangled in this overgrowth abounding in a million combina-tions, the jolting train ride, the night ﬁlled with the rumble of thetrain, lack of sleep, the air, the sun, the march here with this Fuks,there was Jasia and my mother, the mess with the letter, the way I had “cold-shouldered” my father, there was Roman, and alsoFuks’s problem with his boss in the oﬃce (that he’s been tellingme about), ruts, clods of dirt, heels, pant legs, pebbles, leaves, allof it suddenly fell down before the bird, like a crowd on its knees,and the bird, the eccentric, seized the reign . . .;and reigned inthis nook.;“Who could have hanged it?”“Some kid.;”“No.;It’s too high up.;The eccentric-ity of it clamored with a loud voice and pointed to a human handthat had torn into the thicket—but who?Who hanged it, why, for what reason? . . .
The eccentric-ity of it clamored with a loud voice and pointed to a human handthat had torn into the thicket—but who?Who hanged it, why, for what reason? . . .;my thoughts wereentangled in this overgrowth abounding in a million combina-tions, the jolting train ride, the night ﬁlled with the rumble of thetrain, lack of sleep, the air, the sun, the march here with this Fuks,there was Jasia and my mother, the mess with the letter, the way I had “cold-shouldered” my father, there was Roman, and alsoFuks’s problem with his boss in the oﬃce (that he’s been tellingme about), ruts, clods of dirt, heels, pant legs, pebbles, leaves, allof it suddenly fell down before the bird, like a crowd on its knees,and the bird, the eccentric, seized the reign . . .;and reigned inthis nook.;“Who could have hanged it?”“Some kid.;”“No.;It’s too high up.;”“Let’s go.;my thoughts wereentangled in this overgrowth abounding in a million combina-tions, the jolting train ride, the night ﬁlled with the rumble of thetrain, lack of sleep, the air, the sun, the march here with this Fuks,there was Jasia and my mother, the mess with the letter, the way I had “cold-shouldered” my father, there was Roman, and alsoFuks’s problem with his boss in the oﬃce (that he’s been tellingme about), ruts, clods of dirt, heels, pant legs, pebbles, leaves, allof it suddenly fell down before the bird, like a crowd on its knees,and the bird, the eccentric, seized the reign . . .
my thoughts wereentangled in this overgrowth abounding in a million combina-tions, the jolting train ride, the night ﬁlled with the rumble of thetrain, lack of sleep, the air, the sun, the march here with this Fuks,there was Jasia and my mother, the mess with the letter, the way I had “cold-shouldered” my father, there was Roman, and alsoFuks’s problem with his boss in the oﬃce (that he’s been tellingme about), ruts, clods of dirt, heels, pant legs, pebbles, leaves, allof it suddenly fell down before the bird, like a crowd on its knees,and the bird, the eccentric, seized the reign . . .;and reigned inthis nook.;“Who could have hanged it?”“Some kid.;”“No.;It’s too high up.;”“Let’s go.;”But he didn’t stir.;and reigned inthis nook.
and reigned inthis nook.;“Who could have hanged it?”“Some kid.;”“No.;It’s too high up.;”“Let’s go.;”But he didn’t stir.;The sparrow was hanging.;“Who could have hanged it?”“Some kid.
“Who could have hanged it?”“Some kid.;”“No.;It’s too high up.;”“Let’s go.;”But he didn’t stir.;The sparrow was hanging.;The ground wasbare but in some places short, sparse grass was encroaching on it,many things lay about, a piece of bent sheet metal, a stick, anotherstick, some torn cardboard, a smaller stick, there was also a beetle,an ant, another ant, some unfamiliar bug, a wood chip, and so onand on, all the way to the scrub at the roots of the bushes—hewatched as I did.;”“No.
”“No.;It’s too high up.;”“Let’s go.;”But he didn’t stir.;The sparrow was hanging.;The ground wasbare but in some places short, sparse grass was encroaching on it,many things lay about, a piece of bent sheet metal, a stick, anotherstick, some torn cardboard, a smaller stick, there was also a beetle,an ant, another ant, some unfamiliar bug, a wood chip, and so onand on, all the way to the scrub at the roots of the bushes—hewatched as I did.;“Let’s go.”;It’s too high up.
It’s too high up.;”“Let’s go.;”But he didn’t stir.;The sparrow was hanging.;The ground wasbare but in some places short, sparse grass was encroaching on it,many things lay about, a piece of bent sheet metal, a stick, anotherstick, some torn cardboard, a smaller stick, there was also a beetle,an ant, another ant, some unfamiliar bug, a wood chip, and so onand on, all the way to the scrub at the roots of the bushes—hewatched as I did.;“Let’s go.”;But he went on standing, looking, thesparrow was hanging, I was standing, looking.;”“Let’s go.
”“Let’s go.;”But he didn’t stir.;The sparrow was hanging.;The ground wasbare but in some places short, sparse grass was encroaching on it,many things lay about, a piece of bent sheet metal, a stick, anotherstick, some torn cardboard, a smaller stick, there was also a beetle,an ant, another ant, some unfamiliar bug, a wood chip, and so onand on, all the way to the scrub at the roots of the bushes—hewatched as I did.;“Let’s go.”;But he went on standing, looking, thesparrow was hanging, I was standing, looking.;“Let’s go.”;”But he didn’t stir.
”But he didn’t stir.;The sparrow was hanging.;The ground wasbare but in some places short, sparse grass was encroaching on it,many things lay about, a piece of bent sheet metal, a stick, anotherstick, some torn cardboard, a smaller stick, there was also a beetle,an ant, another ant, some unfamiliar bug, a wood chip, and so onand on, all the way to the scrub at the roots of the bushes—hewatched as I did.;“Let’s go.”;But he went on standing, looking, thesparrow was hanging, I was standing, looking.;“Let’s go.”;“Let’sCosmos go.”;The sparrow was hanging.
The sparrow was hanging.;The ground wasbare but in some places short, sparse grass was encroaching on it,many things lay about, a piece of bent sheet metal, a stick, anotherstick, some torn cardboard, a smaller stick, there was also a beetle,an ant, another ant, some unfamiliar bug, a wood chip, and so onand on, all the way to the scrub at the roots of the bushes—hewatched as I did.;“Let’s go.”;But he went on standing, looking, thesparrow was hanging, I was standing, looking.;“Let’s go.”;“Let’sCosmos go.”;But we didn’t budge, perhaps because we had already stoodhere too long and the right moment for departure had passed . .;The ground wasbare but in some places short, sparse grass was encroaching on it,many things lay about, a piece of bent sheet metal, a stick, anotherstick, some torn cardboard, a smaller stick, there was also a beetle,an ant, another ant, some unfamiliar bug, a wood chip, and so onand on, all the way to the scrub at the roots of the bushes—hewatched as I did.
The ground wasbare but in some places short, sparse grass was encroaching on it,many things lay about, a piece of bent sheet metal, a stick, anotherstick, some torn cardboard, a smaller stick, there was also a beetle,an ant, another ant, some unfamiliar bug, a wood chip, and so onand on, all the way to the scrub at the roots of the bushes—hewatched as I did.;“Let’s go.”;But he went on standing, looking, thesparrow was hanging, I was standing, looking.;“Let’s go.”;“Let’sCosmos go.”;But we didn’t budge, perhaps because we had already stoodhere too long and the right moment for departure had passed . .;.and;“Let’s go.”
“Let’s go.”;But he went on standing, looking, thesparrow was hanging, I was standing, looking.;“Let’s go.”;“Let’sCosmos go.”;But we didn’t budge, perhaps because we had already stoodhere too long and the right moment for departure had passed . .;.and;now it was all becoming heavier, more awkward . . .;But he went on standing, looking, thesparrow was hanging, I was standing, looking.
But he went on standing, looking, thesparrow was hanging, I was standing, looking.;“Let’s go.”;“Let’sCosmos go.”;But we didn’t budge, perhaps because we had already stoodhere too long and the right moment for departure had passed . .;.and;now it was all becoming heavier, more awkward . . .;the twoof us with the hanging sparrow in the bushes . . .;“Let’s go.”
“Let’s go.”;“Let’sCosmos go.”;But we didn’t budge, perhaps because we had already stoodhere too long and the right moment for departure had passed . .;.and;now it was all becoming heavier, more awkward . . .;the twoof us with the hanging sparrow in the bushes . . .;and somethinglike a violation of balance, or tactlessness, an impropriety on ourpart loomed in my mind . . .;“Let’sCosmos go.”
