context1,context2,context3,context4,context5,context6,context7,response
 It was a picture of a woman with a fur hat and a fur boa," She sat erect there, lifting up in the direction of the viewer a solid fur muff into which her entire forearm disappeared",Gregor’s glance then turned to the window, The dreary weather (the rain drops were falling audibly down on the metal window ledge) made him quite melancholy," ‘Why don’t I keep sleeping for a little while longer and forget all The Metamorphosis this foolishness,’ he thought"," But this was entirely impractical, for he was used to sleeping on his right side, and in his present state he couldn’t get himself into this position"," No matter how hard he threw himself onto his right side, he always rolled again onto his back"," She sat erect there, lifting up in the direction of the viewer a solid fur muff into which her entire forearm disappeared"
" She sat erect there, lifting up in the direction of the viewer a solid fur muff into which her entire forearm disappeared",Gregor’s glance then turned to the window, The dreary weather (the rain drops were falling audibly down on the metal window ledge) made him quite melancholy," ‘Why don’t I keep sleeping for a little while longer and forget all The Metamorphosis this foolishness,’ he thought"," But this was entirely impractical, for he was used to sleeping on his right side, and in his present state he couldn’t get himself into this position"," No matter how hard he threw himself onto his right side, he always rolled again onto his back"," He must have tried it a hundred times, closing his eyes, so that he would not have to see the wriggling legs, and gave up only when he began to feel a light, dull pain in his side which he had never felt before",Gregor’s glance then turned to the window
Gregor’s glance then turned to the window, The dreary weather (the rain drops were falling audibly down on the metal window ledge) made him quite melancholy," ‘Why don’t I keep sleeping for a little while longer and forget all The Metamorphosis this foolishness,’ he thought"," But this was entirely impractical, for he was used to sleeping on his right side, and in his present state he couldn’t get himself into this position"," No matter how hard he threw himself onto his right side, he always rolled again onto his back"," He must have tried it a hundred times, closing his eyes, so that he would not have to see the wriggling legs, and gave up only when he began to feel a light, dull pain in his side which he had never felt before","‘O God,’ he thought, ‘what a demanding job I’ve chosen! Day in, day out on the road", The dreary weather (the rain drops were falling audibly down on the metal window ledge) made him quite melancholy
 The dreary weather (the rain drops were falling audibly down on the metal window ledge) made him quite melancholy," ‘Why don’t I keep sleeping for a little while longer and forget all The Metamorphosis this foolishness,’ he thought"," But this was entirely impractical, for he was used to sleeping on his right side, and in his present state he couldn’t get himself into this position"," No matter how hard he threw himself onto his right side, he always rolled again onto his back"," He must have tried it a hundred times, closing his eyes, so that he would not have to see the wriggling legs, and gave up only when he began to feel a light, dull pain in his side which he had never felt before","‘O God,’ he thought, ‘what a demanding job I’ve chosen! Day in, day out on the road"," The stresses of trade are much greater than the work going on at head office, and, in addition to that, I have to deal with the problems of traveling, the worries about train connections, irregular bad food, temporary and constantly changing human relationships which never come from the heart"," ‘Why don’t I keep sleeping for a little while longer and forget all The Metamorphosis this foolishness,’ he thought"
" ‘Why don’t I keep sleeping for a little while longer and forget all The Metamorphosis this foolishness,’ he thought"," But this was entirely impractical, for he was used to sleeping on his right side, and in his present state he couldn’t get himself into this position"," No matter how hard he threw himself onto his right side, he always rolled again onto his back"," He must have tried it a hundred times, closing his eyes, so that he would not have to see the wriggling legs, and gave up only when he began to feel a light, dull pain in his side which he had never felt before","‘O God,’ he thought, ‘what a demanding job I’ve chosen! Day in, day out on the road"," The stresses of trade are much greater than the work going on at head office, and, in addition to that, I have to deal with the problems of traveling, the worries about train connections, irregular bad food, temporary and constantly changing human relationships which never come from the heart", To hell with it all!’ He felt a slight itching on the top of his abdomen," But this was entirely impractical, for he was used to sleeping on his right side, and in his present state he couldn’t get himself into this position"
" But this was entirely impractical, for he was used to sleeping on his right side, and in his present state he couldn’t get himself into this position"," No matter how hard he threw himself onto his right side, he always rolled again onto his back"," He must have tried it a hundred times, closing his eyes, so that he would not have to see the wriggling legs, and gave up only when he began to feel a light, dull pain in his side which he had never felt before","‘O God,’ he thought, ‘what a demanding job I’ve chosen! Day in, day out on the road"," The stresses of trade are much greater than the work going on at head office, and, in addition to that, I have to deal with the problems of traveling, the worries about train connections, irregular bad food, temporary and constantly changing human relationships which never come from the heart", To hell with it all!’ He felt a slight itching on the top of his abdomen," He slowly pushed himself on his back closer to the bed post so that he could lift his head more easily, found the itchy part, which was entirely covered with small white spots (he did not know what to make of them), and wanted to feel the place with a leg"," No matter how hard he threw himself onto his right side, he always rolled again onto his back"
" No matter how hard he threw himself onto his right side, he always rolled again onto his back"," He must have tried it a hundred times, closing his eyes, so that he would not have to see the wriggling legs, and gave up only when he began to feel a light, dull pain in his side which he had never felt before","‘O God,’ he thought, ‘what a demanding job I’ve chosen! Day in, day out on the road"," The stresses of trade are much greater than the work going on at head office, and, in addition to that, I have to deal with the problems of traveling, the worries about train connections, irregular bad food, temporary and constantly changing human relationships which never come from the heart", To hell with it all!’ He felt a slight itching on the top of his abdomen," He slowly pushed himself on his back closer to the bed post so that he could lift his head more easily, found the itchy part, which was entirely covered with small white spots (he did not know what to make of them), and wanted to feel the place with a leg"," But he retracted it immediately, for the contact felt like a cold shower all over him"," He must have tried it a hundred times, closing his eyes, so that he would not have to see the wriggling legs, and gave up only when he began to feel a light, dull pain in his side which he had never felt before"
" He must have tried it a hundred times, closing his eyes, so that he would not have to see the wriggling legs, and gave up only when he began to feel a light, dull pain in his side which he had never felt before","‘O God,’ he thought, ‘what a demanding job I’ve chosen! Day in, day out on the road"," The stresses of trade are much greater than the work going on at head office, and, in addition to that, I have to deal with the problems of traveling, the worries about train connections, irregular bad food, temporary and constantly changing human relationships which never come from the heart", To hell with it all!’ He felt a slight itching on the top of his abdomen," He slowly pushed himself on his back closer to the bed post so that he could lift his head more easily, found the itchy part, which was entirely covered with small white spots (he did not know what to make of them), and wanted to feel the place with a leg"," But he retracted it immediately, for the contact felt like a cold shower all over him",He slid back again into his earlier position,"‘O God,’ he thought, ‘what a demanding job I’ve chosen! Day in, day out on the road"
"‘O God,’ he thought, ‘what a demanding job I’ve chosen! Day in, day out on the road"," The stresses of trade are much greater than the work going on at head office, and, in addition to that, I have to deal with the problems of traveling, the worries about train connections, irregular bad food, temporary and constantly changing human relationships which never come from the heart", To hell with it all!’ He felt a slight itching on the top of his abdomen," He slowly pushed himself on his back closer to the bed post so that he could lift his head more easily, found the itchy part, which was entirely covered with small white spots (he did not know what to make of them), and wanted to feel the place with a leg"," But he retracted it immediately, for the contact felt like a cold shower all over him",He slid back again into his earlier position," ‘This getting up early,’ he thought, ‘makes a man quite idiotic"," The stresses of trade are much greater than the work going on at head office, and, in addition to that, I have to deal with the problems of traveling, the worries about train connections, irregular bad food, temporary and constantly changing human relationships which never come from the heart"
" The stresses of trade are much greater than the work going on at head office, and, in addition to that, I have to deal with the problems of traveling, the worries about train connections, irregular bad food, temporary and constantly changing human relationships which never come from the heart", To hell with it all!’ He felt a slight itching on the top of his abdomen," He slowly pushed himself on his back closer to the bed post so that he could lift his head more easily, found the itchy part, which was entirely covered with small white spots (he did not know what to make of them), and wanted to feel the place with a leg"," But he retracted it immediately, for the contact felt like a cold shower all over him",He slid back again into his earlier position," ‘This getting up early,’ he thought, ‘makes a man quite idiotic", A man must have his sleep, To hell with it all!’ He felt a slight itching on the top of his abdomen
